ID,Name,Description,ColumnSpec,Nexus_File,Concepticon_ID,Concepticon_Gloss
1,above-ascertained,,,data,,
2,above-2,,,data,1741,ABOVE
3,above-3,,,data,1741,ABOVE
4,above-4,,,data,1741,ABOVE
5,above-5,,,data,1741,ABOVE
6,above-6,,,data,1741,ABOVE
7,above-7,,,data,1741,ABOVE
8,above-8,,,data,1741,ABOVE
9,above-9,,,data,1741,ABOVE
10,above-10,,,data,1741,ABOVE
11,above-11,,,data,1741,ABOVE
12,above-12,,,data,1741,ABOVE
13,above-13,,,data,1741,ABOVE
14,above-14,,,data,1741,ABOVE
15,above-15,,,data,1741,ABOVE
16,above-16,,,data,1741,ABOVE
17,above-17,,,data,1741,ABOVE
18,above-18,,,data,1741,ABOVE
19,above-19,,,data,1741,ABOVE
20,above-20,,,data,1741,ABOVE
21,above-21,,,data,1741,ABOVE
22,above-22,,,data,1741,ABOVE
23,above-23,,,data,1741,ABOVE
24,above-24,,,data,1741,ABOVE
25,above-25,,,data,1741,ABOVE
26,above-26,,,data,1741,ABOVE
27,above-27,,,data,1741,ABOVE
28,above-28,,,data,1741,ABOVE
29,above-29,,,data,1741,ABOVE
30,above-30,,,data,1741,ABOVE
31,above-31,,,data,1741,ABOVE
32,above-32,,,data,1741,ABOVE
33,above-33,,,data,1741,ABOVE
34,above-34,,,data,1741,ABOVE
35,above-35,,,data,1741,ABOVE
36,above-36,,,data,1741,ABOVE
37,above-37,,,data,1741,ABOVE
38,above-38,,,data,1741,ABOVE
39,above-39,,,data,1741,ABOVE
40,above-40,,,data,1741,ABOVE
41,above-41,,,data,1741,ABOVE
42,above-42,,,data,1741,ABOVE
43,above-43,,,data,1741,ABOVE
44,above-44,,,data,1741,ABOVE
45,above-45,,,data,1741,ABOVE
46,above-46,,,data,1741,ABOVE
47,above-47,,,data,1741,ABOVE
48,above-48,,,data,1741,ABOVE
49,above-49,,,data,1741,ABOVE
50,above-50,,,data,1741,ABOVE
51,above-51,,,data,1741,ABOVE
52,above-52,,,data,1741,ABOVE
53,above-53,,,data,1741,ABOVE
54,above-54,,,data,1741,ABOVE
55,above-55,,,data,1741,ABOVE
56,above-56,,,data,1741,ABOVE
57,above-57,,,data,1741,ABOVE
58,above-58,,,data,1741,ABOVE
59,above-59,,,data,1741,ABOVE
60,above-60,,,data,1741,ABOVE
61,above-61,,,data,1741,ABOVE
62,above-62,,,data,1741,ABOVE
63,above-63,,,data,1741,ABOVE
64,above-64,,,data,1741,ABOVE
65,above-65,,,data,1741,ABOVE
66,above-66,,,data,1741,ABOVE
67,above-67,,,data,1741,ABOVE
68,above-68,,,data,1741,ABOVE
69,above-69,,,data,1741,ABOVE
70,above-70,,,data,1741,ABOVE
71,above-71,,,data,1741,ABOVE
72,above-72,,,data,1741,ABOVE
73,above-73,,,data,1741,ABOVE
74,above-74,,,data,1741,ABOVE
75,again-ascertained,,,data,,
76,again-2,,,data,204,AGAIN
77,again-3,,,data,204,AGAIN
78,again-4,,,data,204,AGAIN
79,again-5,,,data,204,AGAIN
80,again-6,,,data,204,AGAIN
81,again-7,,,data,204,AGAIN
82,again-8,,,data,204,AGAIN
83,again-9,,,data,204,AGAIN
84,again-10,,,data,204,AGAIN
85,again-11,,,data,204,AGAIN
86,again-12,,,data,204,AGAIN
87,again-13,,,data,204,AGAIN
88,again-14,,,data,204,AGAIN
89,again-15,,,data,204,AGAIN
90,again-16,,,data,204,AGAIN
91,again-17,,,data,204,AGAIN
92,again-18,,,data,204,AGAIN
93,again-19,,,data,204,AGAIN
94,again-20,,,data,204,AGAIN
95,again-21,,,data,204,AGAIN
96,again-22,,,data,204,AGAIN
97,again-23,,,data,204,AGAIN
98,again-24,,,data,204,AGAIN
99,again-25,,,data,204,AGAIN
100,again-26,,,data,204,AGAIN
101,again-27,,,data,204,AGAIN
102,again-28,,,data,204,AGAIN
103,again-29,,,data,204,AGAIN
104,again-30,,,data,204,AGAIN
105,again-31,,,data,204,AGAIN
106,again-32,,,data,204,AGAIN
107,again-33,,,data,204,AGAIN
108,again-34,,,data,204,AGAIN
109,again-35,,,data,204,AGAIN
110,again-36,,,data,204,AGAIN
111,again-37,,,data,204,AGAIN
112,again-38,,,data,204,AGAIN
113,again-39,,,data,204,AGAIN
114,again-40,,,data,204,AGAIN
115,again-41,,,data,204,AGAIN
116,again-42,,,data,204,AGAIN
117,again-43,,,data,204,AGAIN
118,again-44,,,data,204,AGAIN
119,again-45,,,data,204,AGAIN
120,again-46,,,data,204,AGAIN
121,again-47,,,data,204,AGAIN
122,again-48,,,data,204,AGAIN
123,again-49,,,data,204,AGAIN
124,again-50,,,data,204,AGAIN
125,again-51,,,data,204,AGAIN
126,again-52,,,data,204,AGAIN
127,again-53,,,data,204,AGAIN
128,again-54,,,data,204,AGAIN
129,again-55,,,data,204,AGAIN
130,again-56,,,data,204,AGAIN
131,again-57,,,data,204,AGAIN
132,again-58,,,data,204,AGAIN
133,again-59,,,data,204,AGAIN
134,again-60,,,data,204,AGAIN
135,again-61,,,data,204,AGAIN
136,again-62,,,data,204,AGAIN
137,again-63,,,data,204,AGAIN
138,again-64,,,data,204,AGAIN
139,again-65,,,data,204,AGAIN
140,again-66,,,data,204,AGAIN
141,again-67,,,data,204,AGAIN
142,again-68,,,data,204,AGAIN
143,again-69,,,data,204,AGAIN
144,again-70,,,data,204,AGAIN
145,again-71,,,data,204,AGAIN
146,again-72,,,data,204,AGAIN
147,again-73,,,data,204,AGAIN
148,again-74,,,data,204,AGAIN
149,again-75,,,data,204,AGAIN
150,again-76,,,data,204,AGAIN
151,again-77,,,data,204,AGAIN
152,again-78,,,data,204,AGAIN
153,again-79,,,data,204,AGAIN
154,again-80,,,data,204,AGAIN
155,again-81,,,data,204,AGAIN
156,all-ascertained,,,data,,
157,all-2,,,data,98,ALL
158,all-3,,,data,98,ALL
