ID,Name,Nexus_File,rooted,type,method,scaling,Source
summary,STATE_0,summary.trees,true,summary,bayesian,years,Bouckaert2018
posterior-1,STATE_341200000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-2,STATE_8300000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-3,STATE_244600000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-4,STATE_301800000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-5,STATE_158600000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-6,STATE_221300000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-7,STATE_463600000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-8,STATE_357300000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-9,STATE_132400000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-10,STATE_305600000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-11,STATE_101700000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-12,STATE_354600000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-13,STATE_213800000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-14,STATE_460400000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-15,STATE_513800000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-16,STATE_142800000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-17,STATE_501100000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-18,STATE_453100000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-19,STATE_153000000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-20,STATE_290700000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-21,STATE_74700000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-22,STATE_435000000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-23,STATE_337600000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-24,STATE_479200000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-25,STATE_412800000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-26,STATE_136400000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-27,STATE_121300000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-28,STATE_168500000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-29,STATE_63700000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-30,STATE_155600000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-31,STATE_279800000,posterior.trees,,sample,bayesian,years,Bouckaert2018
