Site,Label,Concepticon_ID,Concepticon_Gloss
1,above-ascertained,,
2,above-2,1741,ABOVE
3,above-3,1741,ABOVE
4,above-4,1741,ABOVE
5,above-5,1741,ABOVE
6,above-6,1741,ABOVE
7,above-7,1741,ABOVE
8,above-8,1741,ABOVE
9,above-9,1741,ABOVE
10,above-10,1741,ABOVE
11,above-11,1741,ABOVE
12,above-12,1741,ABOVE
13,above-13,1741,ABOVE
14,above-14,1741,ABOVE
15,above-15,1741,ABOVE
16,above-16,1741,ABOVE
17,above-17,1741,ABOVE
18,above-18,1741,ABOVE
19,above-19,1741,ABOVE
20,above-20,1741,ABOVE
21,above-21,1741,ABOVE
22,above-22,1741,ABOVE
23,above-23,1741,ABOVE
24,above-24,1741,ABOVE
25,above-25,1741,ABOVE
26,above-26,1741,ABOVE
27,above-27,1741,ABOVE
28,above-28,1741,ABOVE
29,above-29,1741,ABOVE
30,above-30,1741,ABOVE
31,above-31,1741,ABOVE
32,above-32,1741,ABOVE
33,above-33,1741,ABOVE
34,above-34,1741,ABOVE
35,above-35,1741,ABOVE
36,above-36,1741,ABOVE
37,above-37,1741,ABOVE
38,above-38,1741,ABOVE
39,above-39,1741,ABOVE
40,above-40,1741,ABOVE
41,above-41,1741,ABOVE
42,above-42,1741,ABOVE
43,above-43,1741,ABOVE
44,above-44,1741,ABOVE
45,above-45,1741,ABOVE
46,above-46,1741,ABOVE
47,above-47,1741,ABOVE
48,above-48,1741,ABOVE
49,above-49,1741,ABOVE
50,above-50,1741,ABOVE
51,above-51,1741,ABOVE
52,above-52,1741,ABOVE
53,above-53,1741,ABOVE
54,above-54,1741,ABOVE
55,above-55,1741,ABOVE
56,above-56,1741,ABOVE
57,above-57,1741,ABOVE
58,above-58,1741,ABOVE
59,above-59,1741,ABOVE
60,above-60,1741,ABOVE
61,above-61,1741,ABOVE
62,above-62,1741,ABOVE
63,above-63,1741,ABOVE
64,above-64,1741,ABOVE
65,above-65,1741,ABOVE
66,above-66,1741,ABOVE
67,above-67,1741,ABOVE
68,above-68,1741,ABOVE
69,above-69,1741,ABOVE
70,above-70,1741,ABOVE
71,above-71,1741,ABOVE
72,above-72,1741,ABOVE
73,above-73,1741,ABOVE
74,above-74,1741,ABOVE
75,again-ascertained,,
76,again-2,204,AGAIN
77,again-3,204,AGAIN
78,again-4,204,AGAIN
79,again-5,204,AGAIN
80,again-6,204,AGAIN
81,again-7,204,AGAIN
82,again-8,204,AGAIN
83,again-9,204,AGAIN
84,again-10,204,AGAIN
85,again-11,204,AGAIN
86,again-12,204,AGAIN
87,again-13,204,AGAIN
88,again-14,204,AGAIN
89,again-15,204,AGAIN
90,again-16,204,AGAIN
91,again-17,204,AGAIN
92,again-18,204,AGAIN
93,again-19,204,AGAIN
94,again-20,204,AGAIN
95,again-21,204,AGAIN
96,again-22,204,AGAIN
97,again-23,204,AGAIN
